id;name;description;start_date;end_date
1;season;../fake-data/blob/hipster.txt;2026-04-09;2026-04-09
2;think key govern;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10
3;loyally;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10
4;median nifty edible;../fake-data/blob/hipster.txt;2026-04-09;2026-04-10
5;times eek loftily;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10
6;stake reconstitute;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10
7;gah after roughly;../fake-data/blob/hipster.txt;2026-04-09;2026-04-10
8;excepting courteous unnecessarily;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10
9;ouch;../fake-data/blob/hipster.txt;2026-04-09;2026-04-10
10;closed;../fake-data/blob/hipster.txt;2026-04-10;2026-04-10
