id;title;description;due_date;completed
1;chatter;../fake-data/blob/hipster.txt;2026-04-09;false
2;axe;../fake-data/blob/hipster.txt;2026-04-10;true
3;pish bran;../fake-data/blob/hipster.txt;2026-04-10;true
4;lonely alongside;../fake-data/blob/hipster.txt;2026-04-10;false
5;whether;../fake-data/blob/hipster.txt;2026-04-10;true
6;savour;../fake-data/blob/hipster.txt;2026-04-09;true
7;modulo what;../fake-data/blob/hipster.txt;2026-04-10;false
8;the though limply;../fake-data/blob/hipster.txt;2026-04-10;false
9;notwithstanding bug;../fake-data/blob/hipster.txt;2026-04-10;false
10;circulate some;../fake-data/blob/hipster.txt;2026-04-10;false
